x,y,
1.10E-05,0.0150103,
0.00100864,0.917516,
0.00200968,1.01792,
0.0030109,1.0717,
0.00401044,1.1161,
0.00500979,1.15623,
0.00601058,1.19389,
0.0070098,1.22973,
0.00801102,1.26434,
0.00901051,1.29787,
0.0100097,1.33052,
0.0110107,1.36252,
0.0120097,1.3938,
0.0130108,1.42456,
0.0140102,1.45483,
0.0150093,1.48461,
0.0160107,1.51408,
0.0170101,1.54317,
0.0180093,1.57207,
0.0190109,1.60079,
0.0200098,1.62928,
0.0210106,1.65766,
0.02201,1.6858,
0.0230093,1.7138,
0.0240107,1.74175,
0.0250099,1.76948,
0.026011,1.79708,
0.02701,1.82453,
0.0280093,1.85188,
0.0290106,1.87919,
0.0300101,1.90632,
0.0310109,1.93334,
0.0320103,1.96011,
0.0330094,1.98691,
0.0340101,2.01378,
0.0350095,2.04034,
0.0360089,2.06694,
0.0370098,2.0937,
0.0380092,2.12021,
0.0390102,2.14651,
0.0400098,2.17272,
0.041009,2.1989,
0.0420098,2.22506,
0.0430092,2.25117,
0.0440103,2.277,
0.0450093,2.3031,
0.0460088,2.329,
0.0470096,2.35517,
0.048009,2.38058,
0.0490085,2.40642,
0.0500093,2.43209,
0.0510087,2.45758,
0.0520097,2.48292,
0.0530087,2.50827,
0.0540078,2.53357,
0.0550087,2.55894,
0.0560081,2.58426,
0.0570091,2.60944,
0.0580084,2.6345,
0.0590078,2.65915,
0.0600086,2.68434,
0.0610074,2.70909,
0.0620085,2.73436,
0.0630079,2.7589,
0.0640068,2.78326,
0.065008,2.80785,
0.0660071,2.83196,
0.0670065,2.85544,
0.0680072,2.87816,
0.0690064,2.90113,
0.0700077,2.92288,
0.071007,2.94416,
0.0720064,2.96528,
0.0730073,2.98506,
0.0740064,3.00605,
0.0750073,3.02492,
0.0760065,3.0445,
0.0770059,3.06382,
0.0780068,3.08224,
0.0790059,3.10024,
0.0800051,3.11431,
0.0810058,3.11096,
0.0820052,3.12105,
0.0830062,3.13726,
0.0840054,3.1575,
0.0850045,3.17185,
0.0860054,3.18489,
0.0870044,3.20331,
0.0880051,3.2202,
0.0890045,3.2367,
0.0900038,3.25294,
0.0910048,3.26233,
0.0920038,3.24558,
0.0930046,3.25016,
0.094004,3.25096,
0.0950029,3.25909,
0.0960036,3.27315,
0.097003,3.281,
0.098002,3.2966,
0.0990028,3.31042,
0.100002,3.32472,
